Persona;Partei;Gesamt_Score
Allgemein;Gruene;274
Allgemein;CDU;265
Allgemein;SPD;260
Allgemein;FDP;189
Allgemein;AfD;172
Allgemein;Linke;93
Allgemein;FW;53
Allgemein;Weitere;48
Jan;CDU;283
Jan;SPD;242
Jan;Gruene;238
Jan;FDP;226
Jan;AfD;112
Jan;Linke;88
Jan;Weitere;57
Jan;FW;46
Peter;CDU;277
Peter;SPD;247
Peter;Gruene;244
Peter;FDP;199
Peter;AfD;143
Peter;Linke;76
Peter;FW;50
Peter;Weitere;45
Anna;SPD;292
Anna;Gruene;276
Anna;CDU;267
Anna;FDP;197
Anna;Linke;118
Anna;AfD;103
Anna;Weitere;43
Anna;FW;37
Sabine;SPD;280
Sabine;CDU;274
Sabine;Gruene;253
Sabine;FDP;179
Sabine;AfD;143
Sabine;Linke;87
Sabine;Weitere;62
Sabine;FW;49
Lukas;CDU;289
Lukas;Gruene;249
Lukas;SPD;233
Lukas;FDP;197
Lukas;AfD;122
Lukas;FW;68
Lukas;Weitere;50
Lukas;Linke;38
Thomas;SPD;278
Thomas;CDU;275
Thomas;Gruene;261
Thomas;FDP;192
Thomas;AfD;115
Thomas;Linke;74
Thomas;FW;49
Thomas;Weitere;27
Mia;CDU;269
Mia;SPD;267
Mia;Gruene;253
Mia;AfD;160
Mia;FDP;159
Mia;Linke;111
Mia;FW;70
Mia;Weitere;48
